Τίτλος,Όμοιοι Τίτλοι
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(ΝΠΔΔ),"Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(Νομικό Πρόσωπο ΙΔ)
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού (Φυσικό Πρόσωπο)"
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(Νομικό Πρόσωπο ΙΔ),"Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(ΝΠΔΔ)
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού (Φυσικό Πρόσωπο)"
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού (Φυσικό Πρόσωπο),"Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(ΝΠΔΔ)
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(Νομικό Πρόσωπο ΙΔ)"
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΔΔ),"Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΙΔ)
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (Φυσικό Πρόσωπο)"
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΙΔ),"Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΔΔ)
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (Φυσικό Πρόσωπο)"
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (Φυσικό Πρόσωπο),"Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΔΔ)
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΙΔ)"
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών,"Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων) (Για Νομικά Πρόσωπα)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών) (Για Δήμους)"
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων) (Για Νομικά Πρόσωπα),Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών
"Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών)","Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών) (Για Δήμους)"
"Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών) (Για Δήμους)","Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών)"
