Τίτλος,Όμοιοι Τίτλοι
120 δόσεις μη μισθωτών και συνταξιούχων,Οφειλές μη μισθωτών
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(ΝΠΔΔ),"Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(Νομικό Πρόσωπο ΙΔ)
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού (Φυσικό Πρόσωπο)
Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών"
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(Νομικό Πρόσωπο ΙΔ),"Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(ΝΠΔΔ)
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού (Φυσικό Πρόσωπο)
Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών"
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού (Φυσικό Πρόσωπο),"Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(ΝΠΔΔ)
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(Νομικό Πρόσωπο ΙΔ)
Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών"
Άδεια Ίδρυσης και Λειτουργίας Εγκατάστασης Εκτροφής και Αναπαραγωγής Σκύλων,Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων,"Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(ΝΠΔΔ)
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(Νομικό Πρόσωπο ΙΔ)
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού (Φυσικό Πρόσωπο)
Άδεια Ίδρυσης και Λειτουργίας Εγκατάστασης Εκτροφής και Αναπαραγωγής Σκύλων
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΔΔ)
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΙΔ)
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (Φυσικό Πρόσωπο)
Άδεια Ίδρυσης και Λειτουργίας Εργαστηρίων Τεμαχισμού και Τυποποίησης Κρέατος
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων) (Για Νομικά Πρόσωπα)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών) (Για Δήμους)
Άδεια Ίδρυσης και Λειτουργίας Κέντρου Δημιουργικής Απασχόλησης Παιδικών (ΚΔΑΠ)
Άδεια Ίδρυσης και Λειτουργίας Κέντρων Δημιουργικής Απασχόλησης Παιδιών με Αναπηρία (ΚΔΑΠ-ΜΕΑ)
Άδεια Ίδρυσης και Λειτουργίας Καταφυγίων Αδέσποτων Ζώων Συντροφιάς
Άδεια Ίδρυσης και Λειτουργίας Κτηνιατρικού Γραφείου για Τα Παραγωγικά Ζώα
Άδεια Σκοπιμότητας Ίδρυσης και Λειτουργίας Σφαγείων Οπληφόρων Ζώων και Πτηνοσφαγείων
Έκδοση Άδειας Ίδρυσης και Λειτουργίας Ιδρυμάτων Παιδικής Πρόνοιας (Φυσικό/Νομικό Πρόσωπο)
Έκδοση Άδειας Ίδρυσης και Λειτουργίας Μονάδων Φροντίδας Προσχολικής Αγωγής και Διαπαιδαγώγησης από Φορείς ΙΔ
Βεβαίωση Συνδρομής Νομίμων Προϋποθέσεων για την Ίδρυση και Λειτουργία Κτηνιατρείων Μικρών ή Μεγάλων Ζώων
Γνωστοποίηση και μεταβολή Ίδρυσης και Λειτουργίας Θεάτρων
Χορήγηση Άδειας Ίδρυσης και Λειτουργίας Εργαστηρίων Αισθητικής (Φυσικό/Νομικό Πρόσωπο)
Χορήγηση Άδειας Ίδρυσης και Λειτουργίας Καταστημάτων Οπτικών Ειδών και Τμήματος Φακών Επαφής (Φυσικό/Νομικό Πρόσωπο)
Χορήγηση Άδειας Ίδρυσης και Λειτουργίας Μικτών Πρατηρίων Υγρών Καυσίμων και Αμιγώς Υγραερίου
Χορήγηση Άδειας Ίδρυσης και Λειτουργίας Μονάδων Αδυνατίσματος - Διαιτολογικών Μονάδων (Φυσικό/Νομικό Πρόσωπο)
Χορήγηση Άδειας Ίδρυσης και Λειτουργίας Οδοντοτεχνικών Εργαστηρίων (Φυσικό/Νομικό Πρόσωπο)
Χορήγηση Άδειας Ίδρυσης και Λειτουργίας Πρατηρίων Διανομής Πεπιεσμένου Φυσικού Αερίου (CNG)
Χορήγηση Άδειας Ίδρυσης και Λειτουργίας Πρατηρίων Υγρών Καυσίμων"
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΔΔ),"Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΙΔ)
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (Φυσικό Πρόσωπο)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών"
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΙΔ),"Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΔΔ)
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (Φυσικό Πρόσωπο)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών"
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (Φυσικό Πρόσωπο),"Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΔΔ)
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΙΔ)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών"
Άδεια Ίδρυσης και Λειτουργίας Εργαστηρίων Τεμαχισμού και Τυποποίησης Κρέατος,"Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών"
